2,3,4,5,6,7,8,9,10
539,539,539,539,539,539,539,539,539
588,588,588,588,588,588,588,588,588
637,637,637,637,637,637,637,637,637
686,686,686,686,686,686,686,686,686
735,735,735,735,735,735,735,735,735
784,784,784,784,784,784,784,784,784
833,833,833,833,833,833,833,833,833
882,882,882,882,882,882,882,882,882
931,931,931,931,931,931,931,931,931
980,980,980,980,980,980,980,980,980
1029,1029,1029,1029,1029,1029,1029,1029,1029
1078,1078,1078,1078,1078,1078,1078,1078,1078
1127,1127,1127,1127,1127,1127,1127,1127,1127
1176,1176,1176,1176,1176,1176,1176,1176,1176
1225,1225,1225,1225,1225,1225,1225,1225,1225
1274,1274,1274,1274,1274,1274,1274,1274,1274
1323,1323,1323,1323,1323,1323,1323,1323,1323
1372,1372,1372,1372,1372,1372,1372,1372,1372
1421,1421,1421,1421,1421,1421,1421,1421,1421
1470,1470,1470,1470,1470,1470,1470,1470,1470
1519,1519,1519,1519,1519,1519,1519,1519,1519
1568,1568,1568,1568,1568,1568,1568,1568,1568
1617,1617,1617,1617,1617,1617,1617,1617,1617
1666,1666,1666,1666,1666,1666,1666,1666,1666
